PROJECT	SAMPLE	PATH	TYPE
758	H513							/nfs/cancer_trk0006/00000022/87676.bam.bai	bam bai
758	H9							/nfs/cancer_trk0010/00000031/104045.bam		bam
758	H9							/nfs/cancer_trk0007/00000024/104046.bam.bai	bam bai
758	HA7-RCC							/nfs/cancer_trk0010/00000031/106331.bam		bam
758	HA7-RCC							/nfs/cancer_trk0002/00000006/106332.bam.bai	bam bai
758	HARA							/nfs/cancer_trk0007/00000024/87665.bam		bam
758	HARA							/nfs/cancer_trk0006/00000022/87666.bam.bai	bam bai
758	HCC1187							/nfs/cancer_trk0006/00000022/86709.bam		bam
758	HCC1187							/nfs/cancer_trk0006/00000022/86710.bam.bai	bam bai
758	HCC1428							/nfs/cancer_trk0007/00000023/89555.bam		bam
758	HCC1428							/nfs/cancer_trk0006/00000022/89556.bam.bai	bam bai
758	HCC1500							/nfs/cancer_trk0007/00000023/89559.bam		bam
758	HCC1500							/nfs/cancer_trk0006/00000022/89560.bam.bai	bam bai
758	HCC1569							/nfs/cancer_trk0005/00000019/68112.bam		bam
758	HCC1569							/nfs/cancer_trk0004/00000012/68113.bam.bai	bam bai
758	HCC1599							/nfs/cancer_trk0006/00000022/86711.bam		bam
758	HCC1599							/nfs/cancer_trk0006/00000022/86712.bam.bai	bam bai
758	HCC1806							/nfs/cancer_trk0009/00000030/103817.bam		bam
758	HCC1806							/nfs/cancer_trk0007/00000024/103818.bam.bai	bam bai
758	HCC1937							/nfs/cancer_trk0006/00000022/86713.bam		bam
758	HCC1937							/nfs/cancer_trk0006/00000022/86714.bam.bai	bam bai
758	HCC1954							/nfs/cancer_trk0006/00000022/86707.bam		bam
758	HCC1954							/nfs/cancer_trk0006/00000022/86708.bam.bai	bam bai
758	HCC202							/nfs/cancer_trk0007/00000023/89501.bam		bam
758	HCC202							/nfs/cancer_trk0006/00000022/89502.bam.bai	bam bai
758	HCC2157							/nfs/cancer_trk0006/00000022/86717.bam		bam
758	HCC2157							/nfs/cancer_trk0006/00000022/86718.bam.bai	bam bai
758	HCC2218							/nfs/cancer_trk0006/00000022/86719.bam		bam
758	HCC2218							/nfs/cancer_trk0006/00000022/86720.bam.bai	bam bai
758	HCC38							/nfs/cancer_trk0005/00000019/69575.bam		bam
758	HCC38							/nfs/cancer_trk0001/00000004/69576.bam.bai	bam bai
758	HCC-44							/nfs/cancer_trk0005/00000019/69625.bam		bam
758	HCC-44							/nfs/cancer_trk0001/00000003/69626.bam.bai	bam bai
758	HCC-56							/nfs/cancer_trk0007/00000023/88547.bam		bam
758	HCC-56							/nfs/cancer_trk0006/00000022/88548.bam.bai	bam bai
758	HCC70							/nfs/cancer_trk0005/00000019/69587.bam		bam
758	HCC70							/nfs/cancer_trk0001/00000003/69588.bam.bai	bam bai
758	HCC-827							/nfs/cancer_trk0007/00000024/87667.bam		bam
758	HCC-827							/nfs/cancer_trk0007/00000023/87668.bam.bai	bam bai
